,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
40,2017Q1,21403498.0,25397.0,842756939.7960389,-12225.667922377586,-0.0014506754373730107,0.420678860978215
41,2017Q2,22939446.0,18146.0,1264159925.0523531,421402985.2563143,33.33462617388876,0.4216336777993624
42,2017Q3,30137085.0,19867.0,1516941913.7262797,252781988.6739266,16.663920113656975,0.37658780441885237
43,2017Q4,32397580.0,21358.0,1516882666.916378,-59246.809901714325,-0.0039058268113878088,0.3889785141557853
44,2018Q1,34428193.0,22697.0,1516860950.7864475,-21716.129930496216,-0.0014316493492193233,0.36756458104552436
45,2018Q2,36626844.0,17245.0,2123910930.704552,607049979.9181044,28.58170609427258,0.4099827630143077
46,2018Q3,39033701.0,18378.0,2123936282.5116987,25351.807146787643,0.0011936237143991633,0.44319318784650635
47,2018Q4,40608950.0,19120.0,2123899058.577406,-37223.934292793274,-0.001752622571325305,0.48086968094211985
48,2019Q1,42211124.0,19874.0,2123937003.1196537,37944.54224777222,0.0017865191948743774,0.5030871111754026
49,2019Q2,44256090.0,16029.0,2761001310.1253977,637064307.005744,23.0736691311751,0.5242236904328409
50,2019Q3,46049526.0,16678.0,2761094016.069073,92705.94367551804,0.003357580116286734,0.527446866312168
51,2019Q4,47787787.0,17308.0,2761023052.9235034,-70963.14556980133,-0.002570175772153085,0.5305287590236494
52,2020Q1,50063409.0,18132.0,2761052779.6161485,29726.692645072937,0.0010766434044482717,0.5325936716341163
53,2020Q2,52580576.0,19044.0,2761004830.9178743,-47948.69827413559,-0.0017366394197215302,0.5332154115902228
54,2020Q3,54987271.0,16596.0,3313284586.647385,552279755.7295108,16.66864832424028,0.5319127250607304
55,2020Q4,59219789.0,17873.0,3313365915.06742,81328.4200348854,0.0024545559446074805,0.5496985634751318
56,2021Q1,66221560.0,19987.0,3313231600.5403514,-134314.52706861496,-0.004053882832902769,0.5235251158257559
57,2021Q2,73984439.0,16541.0,4472791185.538963,1159559584.998612,25.92474222243145,0.5370450406776953
58,2021Q3,84325684.0,18852.0,4473036494.801613,245309.26264953613,0.005484177536548716,0.5171547001545725
59,2021Q4,90780177.0,20295.0,4473031633.407243,-4861.3943700790405,-0.00010868231589893699,0.4906742170887979
60,2022Q1,98957938.0,22124.0,4472877327.788827,-154305.61841583252,-0.0034498066257523255,0.4675303881080683
61,2022Q2,99915401.0,17183.0,5814782110.225223,1341904782.4363956,23.077473188147025,0.5184721700609107
